$GPGLL,4916.45,N,12311.12,W,2023-06-06T22:54:44,A,*1D
$GPGLL,4917.60,N,12310.25,W,2023-06-06T22:54:45,A,*45
$GPGLL,4918.75,N,12309.38,W,2023-06-06T22:54:46,A,*5A
$GPGLL,4919.90,N,12308.51,W,2023-06-06T22:54:47,A,*6F
$GPGLL,4921.05,N,12307.64,W,2023-06-06T22:54:48,A,*78
$GPGLL,4922.20,N,12306.77,W,2023-06-06T22:54:49,A,*89
$GPGLL,4923.35,N,12305.90,W,2023-06-06T22:54:50,A,*9A
$GPGLL,4924.50,N,12305.03,W,2023-06-06T22:54:51,A,*AB
$GPGLL,4925.65,N,12304.16,W,2023-06-06T22:54:52,A,*BC
$GPGLL,4926.80,N,12303.29,W,2023-06-06T22:54:53,A,*CD
$GPGLL,4927.95,N,12302.42,W,2023-06-06T22:54:54,A,*DE
$GPGLL,4929.10,N,12301.55,W,2023-06-06T22:54:55,A,*EF
$GPGLL,4930.25,N,12300.68,W,2023-06-06T22:54:56,A,*F0
$GPGLL,4931.40,N,12259.81,W,2023-06-06T22:54:57,A,*01
$GPGLL,4932.55,N,12258.94,W,2023-06-06T22:54:58,A,*12
$GPGLL,4933.70,N,12258.07,W,2023-06-06T22:54:59,A,*23
$GPGLL,4934.85,N,12257.20,W,2023-06-06T22:55:00,A,*34
$GPGLL,4936.00,N,12256.33,W,2023-06-06T22:55:01,A,*45
$GPGLL,4937.15,N,12255.46,W,2023-06-06T22:55:02,A,*56
$GPGLL,4938.30,N,12254.59,W,2023-06-06T22:55:03,A,*67
$GPGLL,4939.45,N,12253.72,W,2023-06-06T22:55:04,A,*78
$GPGLL,4940.60,N,12252.85,W,2023-06-06T22:55:05,A,*89
$GPGLL,4941.75,N,12251.98,W,2023-06-06T22:55:06,A,*9A
$GPGLL,4942.90,N,12251.11,W,2023-06-06T22:55:07,A,*AB
$GPGLL,4944.05,N,12250.24,W,2023-06-06T22:55:08,A,*BC
